category,products,avg_price,avg_rating,reviews,avg_discount
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",50,879.44,3.9,19259058162363713378173637131820283996161679315391925893153936371113695418099814184121764192587929957702791770206950410986416167714961283243390103052119466110151245253648877984752135173454273189259101462991692492676117312966227219137604272563228498250,57.6
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",8,1113.625,4.0625,97175107151335846002613797427759717491188,52.375
"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear",2,1224.0,4.0,5519213049,69.0
Electronics|HomeAudio|Accessories|Adapters,1,209.0,4.4,18872,65.0
Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,1,349.0,4.0,3295,73.0
Electronics|HomeAudio|MediaStreamingDevices|StreamingClients,1,4699.0,4.5,224,0.0
Electronics|HomeAudio|Speakers|BluetoothSpeakers,6,1249.0,4.05,1779647056389941226107512908,48.5
Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems,1,499.0,3.9,6742,38.0
Electronics|HomeAudio|Speakers|OutdoorSpeakers,4,1049.0,4.0,304691833141825262,56.25
Electronics|HomeAudio|Speakers|TowerSpeakers,1,2299.0,3.8,282,43.0
"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers",1,1990.0,4.0,897,36.0
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",1,2699.0,3.5,621,23.0
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",24,406.2916666666667,4.254166666666667,42697310962121534269734269732863812835366424440541237910871435877102947121532521653901714269721096212153,59.791666666666664
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",3,663.6666666666666,4.133333333333334,30023356530023,46.333333333333336
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",2,464.0,4.300000000000001,695384296,50.5
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",1,399.0,4.4,12091,50.0
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",49,438.9387755102041,3.8,493296022013210794145158850559037284195128513831225411933435763134904072640839339197928425246479466431133519732318510351323708121731335214143200227538136,59.51020408163265
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",6,872.6666666666666,4.033333333333333,2727116112361796184106,51.166666666666664
"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",3,1155.0,4.266666666666667,76363300301,51.333333333333336
Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles,3,479.0,3.966666666666667,46399362618654,60.333333333333336
Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,2,139.0,4.25,141854971,72.0
Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases,4,637.75,4.2,2646474018011454,70.75
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,5,495.8,4.18,14282168049691428338221,58.0
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,12,1551.5833333333333,4.125,17891215970178912722218678178912722283803638431561867836384,38.0
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,16,546.875,4.14375,889174628599131514404113391777219163197349221471191440421471414403,51.4375
Electronics|Mobiles&Accessories|MobileAccessories|Décor,5,101.4,4.16,59991949194959991949,73.2
Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms,1,99.0,4.4,305,90.0
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",7,577.7142857142857,4.471428571428571,266037779612959688914674714,66.85714285714286
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts,2,375.0,3.9,32341475,74.5
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts,1,689.0,4.3,1193,66.0
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts,1,89.0,4.1,9340,82.0
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights,1,1699.0,4.1,14371,51.0
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,5,999.0,4.26,3382245145603382245,65.4
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods,1,539.0,3.8,14648,66.0
Electronics|Mobiles&Accessories|MobileAccessories|Stands,10,179.0,4.159999999999999,4264117861668528978235124511042897824515072,76.4
Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,8,1558.5,4.15,1712916557165571526171291655762331526,64.625
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,9,1721.888888888889,3.9111111111111114,128311128311128311128311937893781426616412352,18.555555555555557
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,7,6784.714285714285,4.042857142857143,78077807780731383630907313832313832,22.0
Electronics|PowerAccessories|SurgeProtectors,1,1289.0,4.5,20668,14.0
Electronics|WearableTechnology|SmartWatches,53,2089.4528301886794,3.9320754716981132,178311068921796302542263651793025417831696224844917831679502179617833154441537757144152688021796714844159258824075882815438879873841268110229226384653025417833106892179730254226385179696194844867951757192588268803130558523887930355,65.98113207547169
Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,1,899.0,4.0,3663,53.0
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,1,99.0,4.3,5036,0.0
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,1,90.0,4.4,10718,10.0
Home&Kitchen|CraftMaterials|PaintingMaterials,1,230.0,4.5,9427,0.0
Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,3,233.66666666666666,4.433333333333334,7203588210170,9.333333333333334
Home&Kitchen|CraftMaterials|Scrapbooking|Tape,1,130.0,3.9,14778,21.0
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans",11,2055.909090909091,4.1090909090909085,1999828629965093499019135315382591171408982686,38.18181818181818
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",3,1465.6666666666667,4.1000000000000005,1299978018031,24.666666666666668
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|PedestalFans",1,1982.84,4.1,5873,40.0
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",2,1673.5,3.9499999999999997,4370397,42.0
"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",3,2012.6666666666667,3.966666666666667,3973168212,39.333333333333336
"Home&Kitchen|Heating,Cooling&AirQuality|Parts&Accessories|FanParts&Accessories",1,699.0,4.1,3524,59.0
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",1,2499.0,3.8,1889,50.0
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",19,1602.4615789473685,3.8736842105263154,1330026021163273224464701716952374929253562034241127550,35.26315789473684
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",17,1203.764705882353,3.770588235294117,18543141202911111118531316663159215757817195,42.88235294117647
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",2,1804.0,3.6,787340,29.5
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",2,2209.0,3.7,1558468,27.0
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",9,722.6666666666666,4.0777777777777775,36017172183366131657229927530350593195,31.77777777777778
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",23,2402.1739130434785,4.052173913043478,119242178310324538035292444149471296193842646252328942638561358458872779686311812591,48.04347826086956
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters",2,4874.0,4.15,58652569,36.0
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|IroningAccessories|SprayBottles,2,137.0,4.15,2737212,47.0
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBags,1,320.0,4.2,3846,60.0
